sample,condition,replicate,time,tile,file
ph6_R1_B1,ph_6,1,0,1,pH6_10_S10
ph6_R1_B2,ph_6,1,1,1,pH6_11_S11
ph6_R1_B3,ph_6,1,2,1,pH6_12_S12
ph6_R1_B4,ph_6,1,3,1,pH6_13_S13
ph6_R2_B1,ph_6,2,0,1,pH6_39_S39
ph6_R2_B2,ph_6,2,1,1,pH6_40_S40
ph6_R2_B3,ph_6,2,2,1,pH6_41_S41
ph6_R2_B4,ph_6,2,3,1,pH6_42_S42
ph6_R3_B1,ph_6,3,0,1,pH6_66_S66
ph6_R3_B2,ph_6,3,1,1,pH6_67_S67
ph6_R3_B3,ph_6,3,2,1,pH6_68_S68
ph6_R3_B4,ph_6,3,3,1,pH6_69_S69
surface_R1_B1,surface,1,0,1,Surface_26_S26
surface_R1_B2,surface,1,1,1,Surface_27_S27
surface_R1_B3,surface,1,2,1,Surface_28_S28
surface_R1_B4,surface,1,3,1,Surface_29_S29
surface_R2_B1,surface,2,0,1,Surface_55_S55
surface_R2_B2,surface,2,1,1,Surface_56_S56
surface_R2_B3,surface,2,2,1,Surface_57_S57
surface_R2_B4,surface,2,3,1,Surface_58_S58
surface_R3_B1,surface,3,0,1,Surface_81_S81
surface_R3_B2,surface,3,1,1,Surface_82_S82
surface_R3_B4,surface,3,3,1,Surface_83_S83
ph65_R1_B1,ph_6.5,1,0,1,pH65_18_S18
ph65_R1_B2,ph_6.5,1,1,1,pH65_19_S19
ph65_R1_B3,ph_6.5,1,2,1,pH65_20_S20
ph65_R1_B4,ph_6.5,1,3,1,pH65_21_S21
ph65_R2_B1,ph_6.5,2,0,1,pH65_47_S47
ph65_R2_B2,ph_6.5,2,1,1,pH65_48_S48
ph65_R2_B3,ph_6.5,2,2,1,pH65_49_S49
ph65_R2_B4,ph_6.5,2,3,1,pH65_50_S50
ph65_R3_B1,ph_6.5,3,0,1,pH65_73_S73
ph65_R3_B2,ph_6.5,3,1,1,pH65_74_S74
ph65_R3_B3,ph_6.5,3,2,1,pH65_75_S75
ph65_R3_B4,ph_6.5,3,3,1,pH65_76_S76
ph65_ogr_R1_B1,ph_6.5_ogr,1,0,1,pH65ogr_22_S22
ph65_ogr_R1_B2,ph_6.5_ogr,1,1,1,pH65ogr_23_S23
ph65_ogr_R1_B3,ph_6.5_ogr,1,2,1,pH65ogr_24_S24
ph65_ogr_R1_B4,ph_6.5_ogr,1,3,1,pH65ogr_25_S25
ph65_ogr_R2_B1,ph_6.5_ogr,2,0,1,pH65ogr_51_S51
ph65_ogr_R2_B2,ph_6.5_ogr,2,1,1,pH65ogr_52_S52
ph65_ogr_R2_B3,ph_6.5_ogr,2,2,1,pH65ogr_53_S53
ph65_ogr_R2_B4,ph_6.5_ogr,2,3,1,pH65ogr_54_S54
ph65_ogr_R3_B1,ph_6.5_ogr,3,0,1,pH65ogr_77_S77
ph65_ogr_R3_B2,ph_6.5_ogr,3,1,1,pH65ogr_78_S78
ph65_ogr_R3_B3,ph_6.5_ogr,3,2,1,pH65ogr_79_S79
ph65_ogr_R3_B4,ph_6.5_ogr,3,3,1,pH65ogr_80_S80
ph55_R1_B1,ph_5.5,1,0,1,pH55_2_S2
ph55_R2_B1,ph_5.5,2,0,1,pH55_31_S31
ph55_R2_B2,ph_5.5,2,1,1,pH55_32_S32
ph55_R2_B3,ph_5.5,2,2,1,pH55_33_S33
ph55_R2_B4,ph_5.5,2,3,1,pH55_34_S34
ph55_R1_B2,ph_5.5,1,1,1,pH55_3_S3
ph55_R1_B3,ph_5.5,1,2,1,pH55_4_S4
ph55_R3_B1,ph_5.5,3,0,1,pH55_59_S59
ph55_R1_B4,ph_5.5,1,3,1,pH55_5_S5
ph55_R3_B2,ph_5.5,3,1,1,pH55_60_S60
ph55_R3_B3,ph_5.5,3,2,1,pH55_61_S61
ph55_R3_B4,ph_5.5,3,3,1,pH55_62_S62
ph55_ogr_R2_B1,ph_5.5_ogr,2,0,1,pH55ogr_35_S35
ph55_ogr_R2_B2,ph_5.5_ogr,2,1,1,pH55ogr_36_S36
ph55_ogr_R2_B3,ph_5.5_ogr,2,2,1,pH55ogr_37_S37
ph55_ogr_R2_B4,ph_5.5_ogr,2,3,1,pH55ogr_38_S38
ph55_ogr_R3_B1,ph_5.5_ogr,3,0,1,pH55ogr_63_S63
ph55_ogr_R3_B2,ph_5.5_ogr,3,1,1,pH55ogr_64_S64
ph55_ogr_R3_B4,ph_5.5_ogr,3,3,1,pH55ogr_65_S65
ph55_ogr_R1_B1,ph_5.5_ogr,1,0,1,pH55ogr_6_S6
ph55_ogr_R1_B2,ph_5.5_ogr,1,1,1,pH55ogr_7_S7
ph55_ogr_R1_B3,ph_5.5_ogr,1,2,1,pH55ogr_8_S8
ph55_ogr_R1_B4,ph_5.5_ogr,1,3,1,pH55ogr_9_S9
ph6_ogr_R1_B1,ph_6_ogr,1,0,1,pH6ogr_14_S14
ph6_ogr_R1_B2,ph_6_ogr,1,1,1,pH6ogr_15_S15
ph6_ogr_R1_B3,ph_6_ogr,1,2,1,pH6ogr_16_S16
ph6_ogr_R1_B4,ph_6_ogr,1,3,1,pH6ogr_17_S17
ph6_ogr_R2_B1,ph_6_ogr,2,0,1,pH6ogr_43_S43
ph6_ogr_R2_B2,ph_6_ogr,2,1,1,pH6ogr_44_S44
ph6_ogr_R2_B3,ph_6_ogr,2,2,1,pH6ogr_45_S45
ph6_ogr_R2_B4,ph_6_ogr,2,3,1,pH6ogr_46_S46
ph6_ogr_R3_B1,ph_6_ogr,3,0,1,pH6ogr_70_S70
ph6_ogr_R3_B3,ph_6_ogr,3,2,1,pH6ogr_71_S71
ph6_ogr_R3_B4,ph_6_ogr,3,3,1,pH6ogr_72_S72
nontreated_R1,baseline,1,0,1,nontreated_1_S1
nontreated_R2,baseline,2,0,1,nontreated_30_S30
